Position,Position Rank,Player,Team,Bye Week,Projected Points,Roster Status,FantasySharks PID,Player Page
TE,22,AJ Barner,SEA,11,116,Available,16723,https://www.fantasysharks.com/players/playerpage.php?PID=16723
TE,23,Dalton Schultz,HOU,8,116,Available,13772,https://www.fantasysharks.com/players/playerpage.php?PID=13772
TE,24,Brenton Strange,JAC,7,113,Other Roster,16269,https://www.fantasysharks.com/players/playerpage.php?PID=16269
TE,25,Oronde Gadsden,LAC,7,109,Other Roster,17099,https://www.fantasysharks.com/players/playerpage.php?PID=17099
TE,26,Pat Freiermuth,PIT,9,108,Available,15331,https://www.fantasysharks.com/players/playerpage.php?PID=15331
TE,27,Greg Dulcich,MIA,6,106,Available,15797,https://www.fantasysharks.com/players/playerpage.php?PID=15797
TE,28,Jake Tonges,SFO,8,102,Available,16036,https://www.fantasysharks.com/players/playerpage.php?PID=16036
TE,29,Cade Otton,TBB,10,99,Available,15802,https://www.fantasysharks.com/players/playerpage.php?PID=15802
TE,30,David Njoku,LAC,7,97,Other Roster,13192,https://www.fantasysharks.com/players/playerpage.php?PID=13192
TE,31,Theo Johnson,NYG,8,93,Available,16649,https://www.fantasysharks.com/players/playerpage.php?PID=16649
TE,32,Mike Gesicki,CIN,6,91,Available,13672,https://www.fantasysharks.com/players/playerpage.php?PID=13672
TE,33,Gunnar Helm,TEN,9,88,Available,17105,https://www.fantasysharks.com/players/playerpage.php?PID=17105
TE,34,Dawson Knox,BUF,7,87,Available,14143,https://www.fantasysharks.com/players/playerpage.php?PID=14143
TE,35,Tommy Tremble,CAR,5,85,Available,15332,https://www.fantasysharks.com/players/playerpage.php?PID=15332
TE,36,Evan Engram,DEN,10,83,Available,13189,https://www.fantasysharks.com/players/playerpage.php?PID=13189
TE,37,Cole Kmet,CHI,10,76,Available,14867,https://www.fantasysharks.com/players/playerpage.php?PID=14867
TE,38,Tyler Higbee,LAR,11,70,Available,12678,https://www.fantasysharks.com/players/playerpage.php?PID=12678
TE,39,Mason Taylor,NYJ,13,70,Available,17106,https://www.fantasysharks.com/players/playerpage.php?PID=17106
TE,40,Noah Gray,KCC,5,63,Available,15337,https://www.fantasysharks.com/players/playerpage.php?PID=15337
TE,41,Michael Mayer,LVR,13,56,Available,16212,https://www.fantasysharks.com/players/playerpage.php?PID=16212
TE,42,Josh Oliver,MIN,6,50,Available,14209,https://www.fantasysharks.com/players/playerpage.php?PID=14209
TE,43,Daniel Bellinger,TEN,9,50,Available,15873,https://www.fantasysharks.com/players/playerpage.php?PID=15873
TE,44,Darnell Washington,PIT,9,49,Available,16216,https://www.fantasysharks.com/players/playerpage.php?PID=16216
TE,45,Adam Trautman,DEN,10,43,Available,14870,https://www.fantasysharks.com/players/playerpage.php?PID=14870
TE,46,Noah Fant,NOS,8,41,Available,14137,https://www.fantasysharks.com/players/playerpage.php?PID=14137
TE,47,Eli Raridon,NEP,11,40,Available,17607,https://www.fantasysharks.com/players/playerpage.php?PID=17607
TE,48,Riley Nowakowski,PIT,9,39,Available,17648,https://www.fantasysharks.com/players/playerpage.php?PID=17648
TE,49,Brock Wright,DET,6,38,Available,15626,https://www.fantasysharks.com/players/playerpage.php?PID=15626
TE,50,Drew Sample,CIN,6,38,Available,14146,https://www.fantasysharks.com/players/playerpage.php?PID=14146
TE,51,Austin Hooper,ATL,11,37,Available,12677,https://www.fantasysharks.com/players/playerpage.php?PID=12677
TE,52,Ja'Tavion Sanders,CAR,5,37,Available,16643,https://www.fantasysharks.com/players/playerpage.php?PID=16643
TE,53,Mitchell Evans,CAR,5,35,Available,17109,https://www.fantasysharks.com/players/playerpage.php?PID=17109
TE,54,Jackson Hawes,BUF,7,33,Available,17213,https://www.fantasysharks.com/players/playerpage.php?PID=17213
TE,55,Jack Stoll,CLE,11,32,Available,15541,https://www.fantasysharks.com/players/playerpage.php?PID=15541
TE,56,Terrance Ferguson,LAR,11,31,Available,17107,https://www.fantasysharks.com/players/playerpage.php?PID=17107
TE,57,Jeremy Ruckert,NYJ,13,31,Available,15796,https://www.fantasysharks.com/players/playerpage.php?PID=15796
TE,58,Tanner Hudson,CIN,6,30,Available,14370,https://www.fantasysharks.com/players/playerpage.php?PID=14370
TE,59,Elijah Higgins,ARI,14,30,Available,16333,https://www.fantasysharks.com/players/playerpage.php?PID=16333
