player_name,team,position,overall_rank,position_rank,tier,projection,auction_value,source,bye_week,draft_year,draft_round,age_at_week_1,source_file
Jalen Hurts,PHI,QB,58,5,,,9,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Bhayshul Tuten,JAC,RB,59,22,,,9,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
D'Andre Swift,CHI,RB,60,23,,,9,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
David Montgomery,HOU,RB,61,24,,,8,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Jadarian Price,SEA,RB,62,25,,,8,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
TreVeyon Henderson,NE,RB,63,26,,,8,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Rhamondre Stevenson,NE,RB,64,27,,,7,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Courtland Sutton,DEN,WR,65,29,,,7,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Michael Pittman Jr.,PIT,WR,66,30,,,7,ESPN 2026 PPR League Cheat Sheet,9,,,,NFL26_CS_PPR(new).pdf
Marvin Harrison Jr.,ARI,WR,67,31,,,7,ESPN 2026 PPR League Cheat Sheet,14,,,,NFL26_CS_PPR(new).pdf
DK Metcalf,PIT,WR,68,32,,,6,ESPN 2026 PPR League Cheat Sheet,9,,,,NFL26_CS_PPR(new).pdf
Parker Washington,JAC,WR,69,33,,,6,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Alec Pierce,IND,WR,70,34,,,6,ESPN 2026 PPR League Cheat Sheet,13,,,,NFL26_CS_PPR(new).pdf
Kyle Pitts Sr.,ATL,TE,71,5,,,6,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Harold Fannin Jr.,CLE,TE,72,6,,,6,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Sam LaPorta,DET,TE,73,7,,,6,ESPN 2026 PPR League Cheat Sheet,6,,,,NFL26_CS_PPR(new).pdf
Joe Burrow,CIN,QB,74,6,,,5,ESPN 2026 PPR League Cheat Sheet,6,,,,NFL26_CS_PPR(new).pdf
Jaxson Dart,NYG,QB,75,7,,,5,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Mike Evans,SF,WR,76,35,,,5,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Christian Watson,GB,WR,77,36,,,5,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Matthew Golden,GB,WR,78,37,,,4,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Michael Wilson,ARI,WR,79,38,,,4,ESPN 2026 PPR League Cheat Sheet,14,,,,NFL26_CS_PPR(new).pdf
Brian Thomas Jr.,JAC,WR,80,39,,,4,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Jakobi Meyers,JAC,WR,81,40,,,4,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Trevor Lawrence,JAC,QB,82,8,,,4,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Dak Prescott,DAL,QB,83,9,,,4,ESPN 2026 PPR League Cheat Sheet,14,,,,NFL26_CS_PPR(new).pdf
Bo Nix,DEN,QB,84,10,,,4,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Brock Purdy,SF,QB,85,11,,,4,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Matthew Stafford,LAR,QB,86,12,,,4,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Caleb Williams,CHI,QB,87,13,,,3,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Wan'Dale Robinson,TEN,WR,88,41,,,3,ESPN 2026 PPR League Cheat Sheet,9,,,,NFL26_CS_PPR(new).pdf
Jordan Addison,MIN,WR,89,42,,,3,ESPN 2026 PPR League Cheat Sheet,6,,,,NFL26_CS_PPR(new).pdf
Khalil Shakir,BUF,WR,90,43,,,3,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Jayden Reed,GB,WR,91,44,,,3,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Xavier Worthy,KC,WR,92,45,,,3,ESPN 2026 PPR League Cheat Sheet,5,,,,NFL26_CS_PPR(new).pdf
Justin Herbert,LAC,QB,93,14,,,3,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Patrick Mahomes,KC,QB,94,15,,,3,ESPN 2026 PPR League Cheat Sheet,5,,,,NFL26_CS_PPR(new).pdf
Jaylen Warren,PIT,RB,95,28,,,3,ESPN 2026 PPR League Cheat Sheet,9,,,,NFL26_CS_PPR(new).pdf
Rico Dowdle,PIT,RB,96,29,,,2,ESPN 2026 PPR League Cheat Sheet,9,,,,NFL26_CS_PPR(new).pdf
Tony Pollard,TEN,RB,97,30,,,2,ESPN 2026 PPR League Cheat Sheet,9,,,,NFL26_CS_PPR(new).pdf
Kenny Gainwell,TB,RB,98,31,,,2,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Jonathon Brooks,CAR,RB,99,32,,,2,ESPN 2026 PPR League Cheat Sheet,5,,,,NFL26_CS_PPR(new).pdf
Chuba Hubbard,CAR,RB,100,33,,,2,ESPN 2026 PPR League Cheat Sheet,5,,,,NFL26_CS_PPR(new).pdf
Tucker Kraft,GB,TE,101,8,,,2,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
George Kittle,SF,TE,102,9,,,2,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Dallas Goedert,PHI,TE,103,10,,,2,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Travis Kelce,KC,TE,104,11,,,2,ESPN 2026 PPR League Cheat Sheet,5,,,,NFL26_CS_PPR(new).pdf
J.K. Dobbins,DEN,RB,105,34,,,2,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Kyle Monangai,CHI,RB,106,35,,,2,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Jacory Croskey-Merritt,WAS,RB,107,36,,,2,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Rachaad White,WAS,RB,108,37,,,2,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Jake Ferguson,DAL,TE,109,12,,,2,ESPN 2026 PPR League Cheat Sheet,14,,,,NFL26_CS_PPR(new).pdf
Mark Andrews,BAL,TE,110,13,,,2,ESPN 2026 PPR League Cheat Sheet,13,,,,NFL26_CS_PPR(new).pdf
T.J. Hockenson,MIN,TE,111,14,,,2,ESPN 2026 PPR League Cheat Sheet,6,,,,NFL26_CS_PPR(new).pdf
Quentin Johnston,LAC,WR,112,46,,,2,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Josh Downs,IND,WR,113,47,,,2,ESPN 2026 PPR League Cheat Sheet,13,,,,NFL26_CS_PPR(new).pdf
Deebo Samuel Sr.,SF,WR,114,48,,,2,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Aaron Jones Sr.,MIN,RB,115,38,,,2,ESPN 2026 PPR League Cheat Sheet,6,,,,NFL26_CS_PPR(new).pdf
Isaiah Likely,NYG,TE,116,15,,,2,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Dalton Kincaid,BUF,TE,117,16,,,2,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Kenyon Sadiq,NYJ,TE,118,17,,,2,ESPN 2026 PPR League Cheat Sheet,13,,,,NFL26_CS_PPR(new).pdf
Hunter Henry,NE,TE,119,18,,,2,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
Jordan Mason,MIN,RB,120,39,,,2,ESPN 2026 PPR League Cheat Sheet,6,,,,NFL26_CS_PPR(new).pdf
Blake Corum,LAR,RB,121,40,,,1,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
RJ Harvey,DEN,RB,122,41,,,1,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
Woody Marks,HOU,RB,123,42,,,1,ESPN 2026 PPR League Cheat Sheet,8,,,,NFL26_CS_PPR(new).pdf
Stefon Diggs,WAS,WR,124,49,,,1,ESPN 2026 PPR League Cheat Sheet,7,,,,NFL26_CS_PPR(new).pdf
Makai Lemon,PHI,WR,125,50,,,1,ESPN 2026 PPR League Cheat Sheet,10,,,,NFL26_CS_PPR(new).pdf
KC Concepcion,CLE,WR,126,51,,,1,ESPN 2026 PPR League Cheat Sheet,11,,,,NFL26_CS_PPR(new).pdf
